sessionN,monkey,low_ZFRTslope,high_ZFRTslope
16,Euler,114.632802868118,131.403508868434
17,Euler,100.000000122291,100.000000153202
18,Euler,299.999999993442,100.000000013842
19,Euler,174.305485634578,114.874331560007
20,Xena,116.794573217623,133.326363563731
21,Xena,159.339998891393,161.147735621164
22,Xena,134.072032882276,191.265109247975
23,Xena,208.744536101558,100.000000000804
24,Xena,134.266582298455,127.299861984708
25,Xena,299.999999999872,106.51577129889
26,Xena,158.4989834312,289.859657223062
27,Xena,100.000000000002,100.000000002457
28,Xena,106.797169122083,178.557972178685
29,Xena,100.000000000019,139.525213436714
