sessionN,session,monkey,noncanc_hi,noncanc_lo,nostop_hi,nostop_lo,hiFlag,hiDiff,loFlag,loDiff,both,nostop_val,noncanc_val,ssrtDiff,ssrtHigh,ssrtLow
106,dar-cmand1DR-20210614,darwin,288.686156272888,351.314067840576,315.371513366699,395.857930183411,1,-26.685357093811,1,-44.5438623428345,1,-80.4864168167114,-62.627911567688,3.64879485698063,139.120626449585,135.471831592604
107,jou-cmand1DR-20210615,joule,250.675201416016,314.982414245605,258.007049560547,337.018728256226,1,-7.33184814453125,1,-22.0363140106201,1,-79.0116786956787,-64.3072128295898,6.44745477297616,131.110631793153,124.663177020177
108,jou-cmand1DR-20210616,joule,259.33825969696,339.496970176697,266.834020614624,362.700700759888,1,-7.49576091766357,1,-23.2037305831909,1,-95.8666801452637,-80.1587104797363,-21.6107753047072,78.1451632652754,99.7559385699826
109,dar-cmand1DR-20210616,darwin,286.638021469116,369.336366653442,312.995910644531,419.676065444946,1,-26.357889175415,1,-50.3396987915039,1,-106.680154800415,-82.6983451843262,-21.297066564839,120.906757988386,142.203824553225
110,dar-cmand1DR-20210617,darwin,282.992601394653,377.978801727295,317.317008972168,422.010898590088,1,-34.3244075775146,1,-44.032096862793,1,-104.69388961792,-94.9862003326416,2.86677300053216,124.09777826117,121.231005260638
112,dar-cmand1DR-20210618,darwin,296.018123626709,393.359303474426,330.854415893555,410.992622375488,1,-34.8362922668457,1,-17.633318901062,1,-80.1382064819336,-97.3411798477173,31.9506597409445,141.170578821264,109.21991908032
116,dar-cmand1DR-20210621,darwin,306.667566299438,394.321918487549,328.007698059082,427.990913391113,1,-21.3401317596436,1,-33.6689949035645,1,-99.9832153320313,-87.6543521881104,23.0909413467133,129.802932189061,106.711990842348
117,dar-cmand1DR-20210622,darwin,306.995153427124,399.482846260071,333.332538604736,431.308746337891,1,-26.3373851776123,1,-31.8259000778198,1,-97.9762077331543,-92.4876928329468,10.8240197732011,109.871502440105,99.047482666904
1,eulsef20120904c-01,Euler,269,276,307,317,1,-38,1,-41,1,-10,-7,5.93422642500653,198.502127659574,192.567901234568
2,eulsef20120905c-01,Euler,275.5,320.5,298,308,1,-22.5,0,12.5,0,-10,-45,-4.1233093489603,161.199095022624,165.322404371585
3,eulsef20120906e-01,Euler,289,308,316,343.5,1,-27,1,-35.5,1,-27.5,-19,-15.1575324505048,146.534482758621,161.692015209125
4,eulsef20120907c-01,Euler,257,273.5,275.5,337,1,-18.5,1,-63.5,1,-61.5,-16.5,-53.9625124291378,109.672025723473,163.63453815261
5,eulsef20120908c-01,Euler,275,270,309,317,1,-34,1,-47,1,-8,5,26.3128511530398,183.128888888889,156.816037735849
6,eulsef20120909c-01,Euler,236.5,259,257.5,291,1,-21,1,-32,1,-33.5,-22.5,24.798601021213,161.968325791855,137.169724770642
7,xensef20120326b-01,Xena,237,261,241,278,1,-4,1,-17,1,-37,-24,20.4701028104852,109.169064748201,88.6989619377163
8,xensef20120327b-01,Xena,228,244,237.5,265,1,-9.5,1,-21,1,-27.5,-16,11.23789260385,144.542857142857,133.304964539007
9,xensef20120403c-01,Xena,241,253,251,265,1,-10,1,-12,1,-14,-12,-13.4309803921568,142.882352941176,156.313333333333
10,xensef20120406b-01,Xena,227,252,234.5,282,1,-7.5,1,-30,1,-47.5,-25,5.06840085287845,164.605714285714,159.537313432836
11,xensef20120410b-01,Xena,207,235,221,249,1,-14,1,-14,1,-28,-28,40.2004825619654,164.551546391753,124.351063829787
12,xensef20120413d-01,Xena,212,248.5,225.5,260,1,-13.5,1,-11.5,1,-34.5,-36.5,0.337596403518972,150.28841607565,149.950819672131
13,xensef20120416b-01,Xena,227,267,247,292,1,-20,1,-25,1,-45,-40,27.8395330551019,140.767676767677,112.928143712575
