sessionName,monkeyName,sessionN,trial,block,blocktrial,trialType,targetLoc,ssd,response,rt,value
jou-cmand1DR-20201110,jo,1,1,1,1,Stop,Left,50,NoResponse,0,Low
jou-cmand1DR-20201110,jo,1,2,1,2,Go,Left,0,NoStart,0,Low
jou-cmand1DR-20201110,jo,1,3,1,3,Go,Right,0,NoStart,0,High
jou-cmand1DR-20201110,jo,1,4,1,4,Stop,Left,200,NoStart,0,Low
jou-cmand1DR-20201110,jo,1,5,1,5,Go,Right,0,Right,437,High
jou-cmand1DR-20201110,jo,1,6,1,6,Go,Left,0,NoStart,0,Low
jou-cmand1DR-20201110,jo,1,7,1,7,Go,Left,0,NoStart,0,Low
jou-cmand1DR-20201110,jo,1,8,1,8,Stop,Left,333,Left,262,Low
jou-cmand1DR-20201110,jo,1,9,1,9,Go,Right,0,Right,175,High
jou-cmand1DR-20201110,jo,1,10,1,10,Go,Left,0,Left,298,Low
jou-cmand1DR-20201110,jo,1,11,1,11,Go,Left,0,Left,241,Low
jou-cmand1DR-20201110,jo,1,12,1,12,Go,Right,0,Right,194,High
jou-cmand1DR-20201110,jo,1,13,1,13,Go,Left,0,Left,326,Low
jou-cmand1DR-20201110,jo,1,14,1,14,Go,Right,0,Right,253,High
jou-cmand1DR-20201110,jo,1,15,1,15,Stop,Right,200,Right,265,High
jou-cmand1DR-20201110,jo,1,16,1,16,Go,Left,0,Left,219,Low
jou-cmand1DR-20201110,jo,1,17,2,1,Stop,Right,133,NoResponse,0,Low
jou-cmand1DR-20201110,jo,1,18,2,2,Go,Right,0,Right,234,Low
jou-cmand1DR-20201110,jo,1,19,2,3,Stop,Right,333,Right,267,Low
jou-cmand1DR-20201110,jo,1,20,2,4,Stop,Left,267,Left,234,High
jou-cmand1DR-20201110,jo,1,21,2,5,Stop,Left,133,NoResponse,0,High
jou-cmand1DR-20201110,jo,1,22,2,6,Stop,Left,267,Left,326,High
jou-cmand1DR-20201110,jo,1,23,2,7,Go,Right,0,Right,658,Low
jou-cmand1DR-20201110,jo,1,24,2,8,Go,Right,0,Right,577,Low
jou-cmand1DR-20201110,jo,1,25,2,9,Go,Right,0,Right,558,Low
jou-cmand1DR-20201110,jo,1,26,2,10,Go,Left,0,Left,187,High
jou-cmand1DR-20201110,jo,1,27,2,11,Stop,Right,133,NoResponse,0,Low
jou-cmand1DR-20201110,jo,1,28,2,12,Go,Right,0,Right,383,Low
jou-cmand1DR-20201110,jo,1,29,2,13,Go,Right,0,Right,437,Low
jou-cmand1DR-20201110,jo,1,30,2,14,Go,Right,0,Right,282,Low
jou-cmand1DR-20201110,jo,1,31,2,15,Go,Right,0,Right,409,Low
jou-cmand1DR-20201110,jo,1,32,2,16,Go,Right,0,NoStart,0,Low
jou-cmand1DR-20201110,jo,1,33,2,17,Stop,Right,267,Right,322,Low
jou-cmand1DR-20201110,jo,1,34,2,18,Go,Left,0,NoStart,0,High
jou-cmand1DR-20201110,jo,1,35,2,19,Go,Right,0,Right,306,Low
jou-cmand1DR-20201110,jo,1,36,3,1,Go,Left,0,Left,222,Low
jou-cmand1DR-20201110,jo,1,37,3,2,Stop,Left,133,NoResponse,0,Low
jou-cmand1DR-20201110,jo,1,38,3,3,Go,Left,0,NoStart,0,Low
jou-cmand1DR-20201110,jo,1,39,3,4,Go,Left,0,NoStart,0,Low
jou-cmand1DR-20201110,jo,1,40,3,5,Stop,Left,200,NoStart,0,Low
jou-cmand1DR-20201110,jo,1,41,3,6,Stop,Right,400,NoStart,0,High
jou-cmand1DR-20201110,jo,1,42,3,7,Go,Left,0,NoStart,0,Low
jou-cmand1DR-20201110,jo,1,43,3,8,Stop,Left,483,NoStart,0,Low
jou-cmand1DR-20201110,jo,1,44,3,9,Go,Right,0,NoStart,0,High
jou-cmand1DR-20201110,jo,1,45,3,10,Go,Left,0,NoStart,0,Low
jou-cmand1DR-20201110,jo,1,46,3,11,Go,Left,0,Left,256,Low
jou-cmand1DR-20201110,jo,1,47,3,12,Go,Left,0,Left,438,Low
